id,observationId,present,surveyName,species,eventDate,t,latitude,longitude,year,coordinateUncertaintyValue,altitude,easting,northing,asp_n,asp_e,temp.avg,temp.avg.pred.err.sd,temp.avg.dwnscl.err.sd,temp.avg.anom,water.avg,water.avg.pred.err.sd,water.avg.dwnscl.err.sd,water.avg.anom,spatial_fold,temporal_fold,training
1,397680,1,238743,Acrothamnus hookeri,1978-01-01,1,-37.11222,146.96806,1978,15,720,497162.2862926248,5892678.104846624,0,0.1,10.240224843785427,0.7394829197919266,0.26950893087359395,-0.3771328027697791,0.3522253340191168,0.01088924784443819,0.010014724517214045,0.014501744935261962,5,4,FALSE
2,398070,1,238752,Acrothamnus hookeri,1978-01-01,1,-37.1025,147.04583,1978,15,1580,504072.29309558007,5893755.890361987,-0.27,0.03,8.444947372657737,0.7394829197919266,0.2664584046738987,-0.5288030652033058,0.36043975229604536,0.01088924784443819,0.009382921292325415,0.013937595232889122,2,4,TRUE
3,397908,1,238748,Acrothamnus hookeri,1978-01-01,1,-37.02611,147.05556,1978,15,1703,504941.8196569489,5902229.713118406,-0.43,0.35,8.450010692209446,0.7394829197919266,0.2666250109708368,-0.5032470813695795,0.3595213630385157,0.01088924784443819,0.009446218884411647,0.013102237027192487,1,4,TRUE
4,397854,1,238747,Acrothamnus hookeri,1978-01-01,1,-37.023329999999994,147.05972,1978,15,1500,505312.0271083953,5902537.884737527,0.71,0.23,8.500121163630865,0.7394829197919266,0.2676771811997166,-0.49142721424931324,0.3585750895511845,0.01088924784443819,0.009643856387707712,0.013051317356850778,1,4,TRUE
5,398154,1,238754,Acrothamnus hookeri,1978-01-01,1,-37.20667000000002,147.06944,1978,15,900,506161.7361861955,5882198.396303689,-0.11,0.33,10.53151004072555,0.72654241039636,0.27057715417982975,-0.34118818200158785,0.3517077512823153,0.010918602140268456,0.010068790107782367,0.015141643853723186,1,4,TRUE
6,398208,1,238755,Acrothamnus hookeri,1978-01-01,1,-37.18999999999999,147.06944,1978,15,1080,506163.0912200973,5884047.715972605,0.24,-0.4,10.068373837678337,0.72654241039636,0.2670034991860844,-0.3844352390455015,0.3546921088751676,0.010918602140268456,0.009620518122339185,0.014952806189008294,1,4,TRUE
7,398371,1,238760,Acrothamnus hookeri,1978-01-01,1,-37.005280000000006,147.08472,1978,15,1400,507537.5319121492,5904538.547597265,0.21,0.37,8.609165888247276,0.7394829197919266,0.27011005226730583,-0.46341495237487607,0.3527724680261336,0.01088924784443819,0.010134460126784267,0.013013823632744725,1,4,TRUE
8,398446,1,238762,Acrothamnus hookeri,1978-01-01,1,-37.09277999999999,147.0875,1978,15,1580,507775.93704481784,5894831.580853321,-0.34,-0.3,8.508049984254683,0.7394829197919266,0.269873392567858,-0.49425959932625574,0.35887821396623837,0.01088924784443819,0.01001185948287341,0.013429213261258732,2,4,TRUE
9,398588,1,238765,Acrothamnus hookeri,1978-01-01,1,-37.14694000000001,147.09028,1978,15,1380,508017.2764597573,5888823.081070688,0.39,-0.21,8.942909384464883,0.72654241039636,0.2727549095666597,-0.4713273532148605,0.3513468700744536,0.010918602140268456,0.010094330149381391,0.014639035056250638,1,4,TRUE
10,398521,1,238764,Acrothamnus hookeri,1978-01-01,1,-37.15389,147.09722,1978,15,1380,508632.7902568605,5888051.466122899,-0.37,0.07,8.976132412233312,0.72654241039636,0.2677840818470651,-0.47245860445332255,0.35544248292411573,0.010918602140268456,0.009669707972259656,0.014424136583356006,1,4,TRUE
